ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Kingdom (BS)	Phylum (BS)	Class (BS)	Order (BS)	Family (BS)	Genus (BS)	Species (BS)
Seq_32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	84	84
Seq_33	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	100	100	100	100	100	95	95
Seq_34	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	99	99	99
Seq_35	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	monocytogenes	100	100	100	100	100	100	100
Seq_36	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_37	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	japonicum	100	100	100	100	100	89	56
Seq_38	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	NA	100	100	100	100	100	86	86
Seq_39	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	88	88
Seq_40	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_41	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	NA	100	100	100	100	100	100	99
Seq_42	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	71	71
Seq_43	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_44	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	NA	100	100	100	100	100	100	100
Seq_45	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_46	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	99	99	99	99	99	99
Seq_47	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	99	99	99	99
Seq_48	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA	100	98	98	98	95	95	95
Seq_49	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	99	99	43
Seq_50	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	98	73	73
Seq_51	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	100	100	100	100	100	75	75
Seq_52	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_53	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	100
Seq_54	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	aureus	100	100	100	100	100	100	100
Seq_55	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	99	99	99	99
Seq_56	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	100	100
Seq_57	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	99	97	23
Seq_58	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	99
Seq_59	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila	NA	100	100	100	100	100	99	99
Seq_60	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	NA	100	100	100	100	100	54	54
Seq_61	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_62	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	100	100	100	100
Seq_63	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	100	100	99	98	90	59	59
Seq_64	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	99	99	99	99
Seq_65	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	66	66
Seq_66	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_67	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	97	97	97	97
Seq_68	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	76	76
Seq_69	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	88	88
Seq_70	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	96	96	96	96
Seq_71	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	97
Seq_72	Bacteria	WPS-2	NA	NA	NA	NA	NA	99	82	82	82	82	82	82
Seq_73	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	96	96	96	96
Seq_74	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	NA	100	100	100	100	100	97	41
Seq_75	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	100	100	100	99	93	52	52
Seq_76	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_77	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_78	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	96	96	96	96
Seq_79	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	NA	NA	100	100	100	100	96	90	90
Seq_80	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_81	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	94	81	81
Seq_83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_84	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila	NA	100	100	100	100	100	96	96
Seq_85	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_86	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	100
Seq_87	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	NA	NA	100	100	100	100	99	29	28
Seq_88	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	95	95	95	95
Seq_89	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	99
Seq_90	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	89	89	89	89	89	89
Seq_91	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	72	72
Seq_92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	99	78	78
Seq_93	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa	NA	100	100	100	100	100	84	84
Seq_94	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	96	96	96	96
Seq_95	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	99	99	99
Seq_96	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	NA	100	100	100	100	99	99	99
Seq_97	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	NA	NA	100	100	100	100	100	43	43
Seq_98	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_99	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_100	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_101	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Occallatibacter	NA	100	100	100	100	100	77	77
Seq_102	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	100	100	100	100
Seq_103	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_104	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	celatum	100	100	100	100	100	100	92
Seq_105	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus	NA	100	100	100	100	100	76	76
Seq_106	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	100	100	100	100
Seq_107	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_108	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_109	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_110	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	99	99	99
Seq_111	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_113	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA	100	100	100	93	93	93	93
Seq_114	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	osloensis	100	100	100	100	100	100	100
Seq_115	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	99	99	91	88
Seq_116	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_117	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_118	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_119	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa	NA	100	100	100	100	100	72	72
Seq_120	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	99	99
Seq_121	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	100	100	100	100
Seq_122	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	NA	100	100	100	100	100	100	100
Seq_123	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	carnosum	100	100	100	100	100	100	57
Seq_124	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	100	100	100	100
Seq_125	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	NA	100	100	100	100	100	98	98
Seq_126	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	fungivorans	100	100	100	100	99	93	63
Seq_127	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	100	100	100	100
Seq_128	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	100	100	100	100	100	100
Seq_129	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	100	100
Seq_130	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_131	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	90	90
Seq_132	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	96	96	96	96
Seq_133	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	99	99	99
Seq_134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	71	71
Seq_135	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	76	76
Seq_136	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	NA	NA	NA	100	100	100	100	100	100	100
Seq_137	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	100	100	98
Seq_138	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	NA	100	100	100	96	96	96	96
Seq_139	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	100	100	100	100
Seq_140	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	75	75
Seq_141	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_142	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	90	63	63
Seq_143	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_144	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	99	94	94
Seq_145	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	54	54
Seq_146	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	79	79
Seq_147	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_148	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_149	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_150	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	100	100	100	100
Seq_151	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	100	98	98	98	98
Seq_152	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_153	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	82	82	82	82
Seq_154	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	99	99	99	99	99	99
Seq_155	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	75	75
Seq_156	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	NA	100	100	100	100	97	97	97
Seq_157	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	95	95	95	95
Seq_158	Bacteria	Actinobacteriota	Acidimicrobiia	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_159	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2	NA	NA	NA	100	100	100	100	100	100	100
Seq_160	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA	100	100	100	100	100	89	89
Seq_161	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	99	99	99
Seq_162	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	syringae	100	100	100	100	100	100	98
Seq_163	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	96	95	95	95
Seq_164	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila	NA	100	100	100	100	100	90	90
Seq_165	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	NA	NA	100	100	100	100	100	100	100
Seq_166	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_167	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	NA	100	100	100	99	99	99	99
Seq_168	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	NA	NA	NA	100	100	100	94	94	94	94
Seq_169	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	100	100	100	100
Seq_170	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	NA	100	100	100	99	99	99	99
Seq_171	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	NA	NA	100	100	100	100	100	93	93
Seq_172	Bacteria	Actinobacteriota	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica	NA	100	100	100	100	100	100	100
Seq_173	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	99	99
Seq_174	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	NA	100	100	100	100	100	75	75
Seq_175	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	99	99	33	8
Seq_176	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_177	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_178	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	100	100	100
Seq_179	Bacteria	RCP2-54	NA	NA	NA	NA	NA	100	100	100	100	100	100	100
Seq_180	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA	100	100	100	100	97	60	60
Seq_181	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Occallatibacter	NA	100	100	100	100	100	100	100
Seq_182	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	NA	NA	100	100	100	100	100	100	100
Seq_183	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	95	95	95	95
Seq_184	Bacteria	Proteobacteria	Gammaproteobacteria	WD260	NA	NA	NA	100	100	100	100	100	100	100
Seq_185	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	99	99	99	99
Seq_186	Bacteria	WPS-2	NA	NA	NA	NA	NA	100	83	83	83	83	83	83
Seq_187	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_188	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	NA	NA	NA	100	100	100	100	100	100	100
Seq_189	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Aquisphaera	NA	100	100	100	100	100	100	100
Seq_190	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	NA	100	100	100	100	100	82	82
Seq_191	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	NA	100	100	100	100	100	63	63
Seq_192	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidicaldus	NA	100	100	100	100	100	79	79
Seq_193	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	NA	100	100	100	94	94	94	74
Seq_194	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	NA	100	100	100	98	98	98	98
Seq_195	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	NA	100	100	100	100	100	89	89
Seq_196	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	NA	NA	NA	100	100	100	100	100	100	100
Seq_197	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Roseiarcus	NA	100	100	100	100	100	96	75
Seq_198	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Turicella	NA	100	100	100	100	100	100	100
Seq_199	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	gelidum	100	100	100	100	100	100	97
Seq_200	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptacidiphilus	NA	100	100	100	100	100	73	73
Seq_201	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA	NA	100	100	100	100	100	100	100
Seq_202	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	NA	NA	100	100	100	100	100	92	92
Seq_203	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Occallatibacter	NA	100	100	100	100	100	55	55
